h_rel,h,Delta_analytic,Delta_fd,Delta_cs,err_D_fd,err_D_cs,Gamma_analytic,Gamma_fd,Gamma_cs_real,Gamma_cs_45,err_G_fd,err_G_cs_real,err_G_cs_45
0.0000000000000011,0.0000000000001105,0.5398278372770290,0.6107107268058944,0.5398278372770290,0.0708828895288655,0.0000000000000000,0.0198476273738506,-945120204248.9522705078125000,-0.0000000000000000,0.0227293269262805,945120204248.9721679687500000,0.0198476273738506,0.0028816995524299
0.0000000000000037,0.0000000000003675,0.5398278372770290,0.5269134919546101,0.5398278372770288,0.0129143453224189,0.0000000000000002,0.0198476273738506,52620554614.1685028076171875,-0.0000000000000000,0.0186945764163825,52620554614.1486587524414062,0.0198476273738506,0.0011530509574681
0.0000000000000122,0.0000000000012217,0.5398278372770290,0.5416265785888204,0.5398278372770290,0.0017987413117914,0.0000000000000000,0.0198476273738506,-2975480974.2808318138122559,-0.0000000000000000,0.0198904537328091,2975480974.3006792068481445,0.0198476273738506,0.0000428263589585
0.0000000000000406,0.0000000000040616,0.5398278372770290,0.5401340025638512,0.5398278372770291,0.0003061652868223,0.0000000000000001,0.0198476273738506,-215361914.7370589971542358,-0.0000000000000000,0.0198318901922241,215361914.7569066286087036,0.0198476273738506,0.0000157371816265
0.0000000000001350,0.0000000000135031,0.5398278372770290,0.5388344792490856,0.5398278372770292,0.0009933580279434,0.0000000000000002,0.0198476273738506,102293949.3986832499504089,-0.0000000000000000,0.0198476384003265,102293949.3788356184959412,0.0198476273738506,0.0000000110264759
0.0000000000004489,0.0000000000448925,0.5398278372770290,0.5396831128181026,0.5398278372770289,0.0001447244589264,0.0000000000000001,0.0198476273738506,5288513.7368039246648550,-0.0000000000000000,0.0198615780911274,5288513.7169562969356775,0.0198476273738506,0.0000139507172769
0.0000000000014925,0.0000000001492496,0.5398278372770290,0.5398177093159771,0.5398278372770288,0.0000101279610519,0.0000000000000002,0.0198476273738506,358853.0479345247149467,-0.0000000000000000,0.0198470780380955,358853.0280868973350152,0.0198476273738506,0.0000005493357550
0.0000000000049619,0.0000000004961948,0.5398278372770290,0.5398309497326343,0.5398278372770288,0.0000031124556054,0.0000000000000002,0.0198476273738506,-43288.9562955941437394,-0.0000000000000000,0.0198489019177210,43288.9761432215163950,0.0198476273738506,0.0000012745438704
0.0000000000164965,0.0000000016496481,0.5398278372770290,0.5398294059086309,0.5398278372770290,0.0000015686316019,0.0000000000000000,0.0198476273738506,-3263.7554354557064471,-0.0000000000000000,0.0198475836581768,3263.7752830830804669,0.0198476273738506,0.0000000437156738
0.0000000000548442,0.0000000054844166,0.5398278372770290,0.5398273300221879,0.5398278372770291,0.0000005072548411,0.0000000000000001,0.0198476273738506,0.0000000000000000,-0.0000000000000000,0.0198476650092502,0.0198476273738506,0.0198476273738506,0.0000000376353996
